FID,Area_ha,NAME1
0,8696.97,Mansa
1,45578.44,Mungwi
2,8875.9,Mwense
3,4584.9,Nchelenge
4,10395.8,Mporokoso
5,23100.83,Kawambwa
6,3942.54,Chienge
7,1322.56,Luangwa
8,7450.19,Isoka
9,35932.66,Chinsali
10,30665.81,Nakonde
11,23068.14,Mbala
12,3569.25,Ndola
13,807.59,Kitwe
14,38255.52,Lukulu
15,10188.62,Shangombo
16,18050.73,Sesheke
17,48101.51,Kalabo
18,111564.71,Kalomo
19,98112.15,Namwala
20,16057.28,Sinazongwe
21,58307.75,Choma
22,2151.36,Chavuma
23,11751.54,Mwinilunga
24,13534.52,Zambezi
25,109187.66,Petauke
26,47568.19,Chadiza
27,3158.65,Lusaka
28,6718.33,Chama
29,1882.91,Livingstone
30,3469.09,Milenge
31,152872.33,Chibombo
32,175439.94,Mumbwa
33,30209.43,Chongwe
34,26099.44,Senanga
35,66049.78,Mongu
36,7021.67,Mpulungu
37,121247.17,Lundazi
38,81376.04,Mkushi
39,1129.72,Chililabombwe
40,1096.52,Kalulushi
41,49511.16,Serenje
42,28585.63,Nyimba
43,166017,Mpika
44,15553.11,Kasama
45,18018.41,Kaputa
46,9554.33,Mambwe
47,116018.15,Chipata
48,53151.08,Chilubi
49,147323.49,Samfya
50,16568.55,Kabwe
51,150564.2,Kapiri Mposhi
52,10212.85,Solwezi
53,12171.52,Kabompo
54,29696.55,Mufumbwe
55,26447.01,Kasempa
56,61059.07,Mpongwe
57,10352.63,Lufwanyama
58,118662.33,Katete
59,4997.61,Chingola
60,11005.56,Luwingu
61,1141.37,Mufulira
62,24213.73,Kaoma
63,513.12,Luanshya
64,5528.97,Masaiti
65,73558.95,Kazungula
66,176889.76,Mazabuka
67,62008.74,Kafue
68,9207.01,Gwembe
69,64842.71,Monze
70,14108.66,Siavonga
71,2264.32,Ikelenge
72,10673.32,Mafinga
73,84087.12,Itezhi Tezhi
